algorithm,n,time
quickSort,5,2.6e-06
bubbleSort,5,1.4e-06
insertionSort,5,8e-07
selectionSort,5,1.4e-06
mergeSort,5,2.6e-06
quickSort,10,2.8e-06
bubbleSort,10,2.6e-06
insertionSort,10,1.4e-06
selectionSort,10,2.7e-06
mergeSort,10,3.8e-06
quickSort,20,5.6e-06
bubbleSort,20,7.6e-06
insertionSort,20,2.6e-06
selectionSort,20,5.8e-06
mergeSort,20,6.6e-06
quickSort,40,9.7e-06
bubbleSort,40,2.23e-05
insertionSort,40,5.7e-06
selectionSort,40,1.41e-05
mergeSort,40,1.14e-05
quickSort,80,2.16e-05
bubbleSort,80,8.23e-05
insertionSort,80,1.74e-05
selectionSort,80,6.24e-05
mergeSort,80,2.74e-05
quickSort,160,5.37e-05
bubbleSort,160,0.0003636
insertionSort,160,6.32e-05
selectionSort,160,0.0001426
mergeSort,160,5.21e-05
quickSort,320,0.0001158
bubbleSort,320,0.0012138
insertionSort,320,0.000246
selectionSort,320,0.0005236
mergeSort,320,0.0001108
quickSort,640,0.0002325
bubbleSort,640,0.0050718
insertionSort,640,0.001072
selectionSort,640,0.002136
mergeSort,640,0.0002599
quickSort,1280,0.0005129
bubbleSort,1280,0.0202509
insertionSort,1280,0.0041767
selectionSort,1280,0.0085812
mergeSort,1280,0.0004849
quickSort,2560,0.0008731
bubbleSort,2560,0.0509452
insertionSort,2560,0.004615
selectionSort,2560,0.0089965
mergeSort,2560,0.000439
quickSort,5120,0.0006519
bubbleSort,5120,0.105441
insertionSort,5120,0.0158562
selectionSort,5120,0.0316097
mergeSort,5120,0.0006004
quickSort,10240,0.0015163
bubbleSort,10240,0.496622
insertionSort,10240,0.0687169
selectionSort,10240,0.152452
mergeSort,10240,0.0019295
quickSort,20480,0.0033036
bubbleSort,20480,1.8826
insertionSort,20480,0.26187
selectionSort,20480,0.514091
mergeSort,20480,0.0030139
quickSort,40960,0.0066918
bubbleSort,40960,7.79955
insertionSort,40960,1.08269
selectionSort,40960,1.99916
mergeSort,40960,0.0055407
quickSort,81920,0.0154101
bubbleSort,81920,30.3732
insertionSort,81920,4.35578
selectionSort,81920,8.25215
mergeSort,81920,0.0122538
